target_id,obs_id,source_dataset,source_group_id,area,date,reference_time,timestamp_source,role,selection_rank,granule_name,acquisition_start,delta_h,scene_coverage_ratio,coverage_set_ratio,coverage_complete,download_group_key,aoi_buffer_km,association_count
S1_S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550:scene,S1_S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550,Global_S1,2018-12-16,2018-12-16T11:45:33Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550.SAFE,2018-12-16T11:45:33Z,0,1,1,True,S1A_IW_SLC__1SDV_20181216T114533_20181216T114600_025050_02C392_0550,30.0,1
S1_S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF:scene,S1_S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF,Global_S1,2018-12-16,2018-12-16T11:45:58Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF.SAFE,2018-12-16T11:45:58Z,0,1,1,True,S1A_IW_SLC__1SDV_20181216T114558_20181216T114625_025050_02C392_12CF,30.0,1
S1_S1A_IW_SLC__1SDV_20181231T180142_20181231T180209_025273_02CB84_4FA7:scene,S1_S1A_IW_SLC__1SDV_20181231T180142_20181231T180209_025273_02CB84_4FA7,deduplicated_global_s1,S1A_IW_SLC__1SDV_20181231T180142_20181231T180209_025273_02CB84_4FA7,Global_S1,2018-12-31,2018-12-31T18:01:42Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20181231T180142_20181231T180209_025273_02CB84_4FA7.SAFE,2018-12-31T18:01:42Z,0,1,1,True,S1A_IW_SLC__1SDV_20181231T180142_20181231T180209_025273_02CB84_4FA7,30.0,1
S1_S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB:scene,S1_S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB,Global_S1,2019-01-11,2019-01-11T23:57:57Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB.SAFE,2019-01-11T23:57:57Z,0,1,1,True,S1A_IW_SLC__1SDV_20190111T235757_20190111T235824_025437_02D177_7CEB,30.0,1
S1_S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98:scene,S1_S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98,Global_S1,2019-01-11,2019-01-11T23:58:22Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98.SAFE,2019-01-11T23:58:22Z,0,1,1,True,S1A_IW_SLC__1SDV_20190111T235822_20190111T235849_025437_02D177_4D98,30.0,1
S1_S1A_IW_SLC__1SDV_20190128T113713_20190128T113743_025677_02DA37_E9F7:scene,S1_S1A_IW_SLC__1SDV_20190128T113713_20190128T113743_025677_02DA37_E9F7,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190128T113713_20190128T113743_025677_02DA37_E9F7,Global_S1,2019-01-28,2019-01-28T11:37:13Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190128T113713_20190128T113743_025677_02DA37_E9F7.SAFE,2019-01-28T11:37:13Z,0,1,1,True,S1A_IW_SLC__1SDV_20190128T113713_20190128T113743_025677_02DA37_E9F7,30.0,1
S1_S1A_IW_SLC__1SDV_20190415T160718_20190415T160745_026803_03031C_CFBC:scene,S1_S1A_IW_SLC__1SDV_20190415T160718_20190415T160745_026803_03031C_CFBC,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190415T160718_20190415T160745_026803_03031C_CFBC,Global_S1,2019-04-15,2019-04-15T16:07:18Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190415T160718_20190415T160745_026803_03031C_CFBC.SAFE,2019-04-15T16:07:18Z,0,1,1,True,S1A_IW_SLC__1SDV_20190415T160718_20190415T160745_026803_03031C_CFBC,30.0,1
S1_S1A_IW_SLC__1SDV_20190420T161528_20190420T161555_026876_0305AB_1543:scene,S1_S1A_IW_SLC__1SDV_20190420T161528_20190420T161555_026876_0305AB_1543,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190420T161528_20190420T161555_026876_0305AB_1543,Global_S1,2019-04-20,2019-04-20T16:15:28Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190420T161528_20190420T161555_026876_0305AB_1543.SAFE,2019-04-20T16:15:28Z,0,1,1,True,S1A_IW_SLC__1SDV_20190420T161528_20190420T161555_026876_0305AB_1543,30.0,1
S1_S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9:scene,S1_S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9,Global_S1,2019-04-21,2019-04-21T16:37:24Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9.SAFE,2019-04-21T16:37:24Z,0,1,1,True,S1A_IW_SLC__1SDV_20190421T163724_20190421T163751_026890_030629_56F9,30.0,1
S1_S1A_IW_SLC__1SDV_20190421T163748_20190421T163815_026890_030629_DE32:scene,S1_S1A_IW_SLC__1SDV_20190421T163748_20190421T163815_026890_030629_DE32,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190421T163748_20190421T163815_026890_030629_DE32,Global_S1,2019-04-21,2019-04-21T16:37:48Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190421T163748_20190421T163815_026890_030629_DE32.SAFE,2019-04-21T16:37:48Z,0,1,1,True,S1A_IW_SLC__1SDV_20190421T163748_20190421T163815_026890_030629_DE32,30.0,1
S1_S1A_IW_SLC__1SDV_20190426T110621_20190426T110651_026960_0308C0_B39F:scene,S1_S1A_IW_SLC__1SDV_20190426T110621_20190426T110651_026960_0308C0_B39F,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190426T110621_20190426T110651_026960_0308C0_B39F,Global_S1,2019-04-26,2019-04-26T11:06:21Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190426T110621_20190426T110651_026960_0308C0_B39F.SAFE,2019-04-26T11:06:21Z,0,1,1,True,S1A_IW_SLC__1SDV_20190426T110621_20190426T110651_026960_0308C0_B39F,30.0,1
S1_S1A_IW_SLC__1SDV_20190527T223319_20190527T223347_027419_0317D5_BA50:scene,S1_S1A_IW_SLC__1SDV_20190527T223319_20190527T223347_027419_0317D5_BA50,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190527T223319_20190527T223347_027419_0317D5_BA50,Global_S1,2019-05-27,2019-05-27T22:33:19Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190527T223319_20190527T223347_027419_0317D5_BA50.SAFE,2019-05-27T22:33:19Z,0,1,1,True,S1A_IW_SLC__1SDV_20190527T223319_20190527T223347_027419_0317D5_BA50,30.0,1
S1_S1A_IW_SLC__1SDV_20190527T223345_20190527T223413_027419_0317D5_8E7E:scene,S1_S1A_IW_SLC__1SDV_20190527T223345_20190527T223413_027419_0317D5_8E7E,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190527T223345_20190527T223413_027419_0317D5_8E7E,Global_S1,2019-05-27,2019-05-27T22:33:45Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190527T223345_20190527T223413_027419_0317D5_8E7E.SAFE,2019-05-27T22:33:45Z,0,1,1,True,S1A_IW_SLC__1SDV_20190527T223345_20190527T223413_027419_0317D5_8E7E,30.0,1
S1_S1A_IW_SLC__1SDV_20190617T095419_20190617T095447_027718_0320F1_8F93:scene,S1_S1A_IW_SLC__1SDV_20190617T095419_20190617T095447_027718_0320F1_8F93,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190617T095419_20190617T095447_027718_0320F1_8F93,Global_S1,2019-06-17,2019-06-17T09:54:19Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190617T095419_20190617T095447_027718_0320F1_8F93.SAFE,2019-06-17T09:54:19Z,0,1,1,True,S1A_IW_SLC__1SDV_20190617T095419_20190617T095447_027718_0320F1_8F93,30.0,1
S1_S1A_IW_SLC__1SDV_20190617T095445_20190617T095512_027718_0320F1_ACD6:scene,S1_S1A_IW_SLC__1SDV_20190617T095445_20190617T095512_027718_0320F1_ACD6,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190617T095445_20190617T095512_027718_0320F1_ACD6,Global_S1,2019-06-17,2019-06-17T09:54:45Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190617T095445_20190617T095512_027718_0320F1_ACD6.SAFE,2019-06-17T09:54:45Z,0,1,1,True,S1A_IW_SLC__1SDV_20190617T095445_20190617T095512_027718_0320F1_ACD6,30.0,1
S1_S1A_IW_SLC__1SDV_20190906T114540_20190906T114606_028900_0346B6_424B:scene,S1_S1A_IW_SLC__1SDV_20190906T114540_20190906T114606_028900_0346B6_424B,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190906T114540_20190906T114606_028900_0346B6_424B,Global_S1,2019-09-06,2019-09-06T11:45:40Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190906T114540_20190906T114606_028900_0346B6_424B.SAFE,2019-09-06T11:45:40Z,0,1,1,True,S1A_IW_SLC__1SDV_20190906T114540_20190906T114606_028900_0346B6_424B,30.0,1
S1_S1A_IW_SLC__1SDV_20190922T103325_20190922T103355_029133_034EA1_B6F2:scene,S1_S1A_IW_SLC__1SDV_20190922T103325_20190922T103355_029133_034EA1_B6F2,deduplicated_global_s1,S1A_IW_SLC__1SDV_20190922T103325_20190922T103355_029133_034EA1_B6F2,Global_S1,2019-09-22,2019-09-22T10:33:25Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20190922T103325_20190922T103355_029133_034EA1_B6F2.SAFE,2019-09-22T10:33:25Z,0,1,1,True,S1A_IW_SLC__1SDV_20190922T103325_20190922T103355_029133_034EA1_B6F2,30.0,1
S1_S1A_IW_SLC__1SDV_20191124T105634_20191124T105701_030052_036E82_3F33:scene,S1_S1A_IW_SLC__1SDV_20191124T105634_20191124T105701_030052_036E82_3F33,deduplicated_global_s1,S1A_IW_SLC__1SDV_20191124T105634_20191124T105701_030052_036E82_3F33,Global_S1,2019-11-24,2019-11-24T10:56:34Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20191124T105634_20191124T105701_030052_036E82_3F33.SAFE,2019-11-24T10:56:34Z,0,1,1,True,S1A_IW_SLC__1SDV_20191124T105634_20191124T105701_030052_036E82_3F33,30.0,1
S1_S1A_IW_SLC__1SDV_20200305T104657_20200305T104725_031539_03A224_FBCB:scene,S1_S1A_IW_SLC__1SDV_20200305T104657_20200305T104725_031539_03A224_FBCB,deduplicated_global_s1,S1A_IW_SLC__1SDV_20200305T104657_20200305T104725_031539_03A224_FBCB,Global_S1,2020-03-05,2020-03-05T10:46:57Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20200305T104657_20200305T104725_031539_03A224_FBCB.SAFE,2020-03-05T10:46:57Z,0,1,1,True,S1A_IW_SLC__1SDV_20200305T104657_20200305T104725_031539_03A224_FBCB,30.0,1
S1_S1A_IW_SLC__1SDV_20200305T104723_20200305T104749_031539_03A224_F776:scene,S1_S1A_IW_SLC__1SDV_20200305T104723_20200305T104749_031539_03A224_F776,deduplicated_global_s1,S1A_IW_SLC__1SDV_20200305T104723_20200305T104749_031539_03A224_F776,Global_S1,2020-03-05,2020-03-05T10:47:23Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20200305T104723_20200305T104749_031539_03A224_F776.SAFE,2020-03-05T10:47:23Z,0,1,1,True,S1A_IW_SLC__1SDV_20200305T104723_20200305T104749_031539_03A224_F776,30.0,1
S1_S1A_IW_SLC__1SDV_20200307T230120_20200307T230148_031576_03A353_2F7C:scene,S1_S1A_IW_SLC__1SDV_20200307T230120_20200307T230148_031576_03A353_2F7C,deduplicated_global_s1,S1A_IW_SLC__1SDV_20200307T230120_20200307T230148_031576_03A353_2F7C,Global_S1,2020-03-07,2020-03-07T23:01:20Z,s1_catalogue,scene,1,S1A_IW_SLC__1SDV_20200307T230120_20200307T230148_031576_03A353_2F7C.SAFE,2020-03-07T23:01:20Z,0,1,1,True,S1A_IW_SLC__1SDV_20200307T230120_20200307T230148_031576_03A353_2F7C,30.0,1
